molecule	VIP
135	0.772013814823647
816	0.7712427964793405
928	0.7696723795164332
124	0.7689575436492443
979	0.7683825835275343
320	0.7662065045560368
329	0.7658357571591138
178	0.7643342851222906
804	0.7627526609849142
572	0.761567841539249
359	0.761482951456192
821	0.7614582411663658
984	0.758671819769662
983	0.7581750356055061
981	0.7577482411579101
947	0.7570342318325975
652	0.7566562256789342
236	0.7561003402800128
114	0.7558925058098901
325	0.7543920529949162
820	0.7538572260391269
105	0.7537986485660416
196	0.7532659888651291
204	0.7527855526123504
982	0.7509924698357607
102	0.7508948956270443
244	0.7503845641447225
322	0.7499872341612122
160	0.7498703399913064
434	0.7493894254202375
199	0.749114058154269
338	0.7477644286483149
392	0.7454000195137175
80	0.72184705060187
803	0.7016234331435527
953	0.7016234331435527
26	0.7016234331435527
955	0.7016234331435527
927	0.7016234331435527
724	0.7016234331435527
725	0.7016234331435527
726	0.7016234331435527
954	0.7016234331435527
986	0.7000161158125071
702	0.6974206387474202
22	0.6947478768922286
305	0.6907146343044028
996	0.6830832680994141
152	0.6773994664455198
145	0.6584503949365825
654	0.657055526139699
306	0.6503409884280172
653	0.6464067704435096
791	0.6432508188676599
918	0.6298429600376403
642	0.6235286736010116
637	0.6223650381779472
158	0.6211239385724013
705	0.6211239385724013
100	0.6211239385724013
732	0.6211239385724013
730	0.6211239385724013
416	0.6211239385724013
931	0.6211239385724013
120	0.6211239385724013
40	0.6211239385724013
378	0.6211239385724013
354	0.6211239385724013
345	0.6211239385724013
10	0.6211239385724013
234	0.6211239385724013
182	0.6211239385724013
157	0.6211239385724013
911	0.6211239385724013
208	0.6211239385724013
254	0.6211239385724013
9	0.6211239385724013
268	0.6211239385724013
186	0.6211239385724013
266	0.6211239385724013
845	0.6211239385724012
106	0.6211239385724012
71	0.6211239385724012
53	0.6211239385724012
103	0.6211239385724012
64	0.6211239385724012
60	0.6211239385724012
97	0.6211239385724012
58	0.6211239385724012
108	0.6211239385724012
36	0.6211239385724012
113	0.6211239385724012
175	0.6211239385724012
310	0.6211239385724012
591	0.6211239385724012
292	0.6211239385724012
7	0.6211239385724012
201	0.6211239385724012
684	0.6211239385724012
218	0.6211239385724012
219	0.6211239385724012
220	0.6211239385724012
224	0.6211239385724012
226	0.6211239385724012
117	0.6211239385724012
235	0.6211239385724012
635	0.6211239385724012
275	0.6211239385724012
245	0.6211239385724012
627	0.6211239385724012
252	0.6211239385724012
255	0.6211239385724012
615	0.6211239385724012
183	0.6211239385724012
616	0.6211239385724012
468	0.6211239385724012
501	0.6211239385724012
129	0.6211239385724012
133	0.6211239385724012
172	0.6211239385724012
765	0.6211239385724012
148	0.6211239385724012
149	0.6211239385724012
156	0.6211239385724012
166	0.6211239385724012
738	0.6211239385724012
564	0.6211239385724012
319	0.6211239385724012
743	0.6172988037562027
793	0.6172988037562026
608	0.5915515745121952
968	0.5915515745121952
621	0.5915515745121952
980	0.590999704364624
798	0.590521332829536
794	0.5796454934223424
787	0.5763580469698238
188	0.566829644794632
181	0.5484381492335387
267	0.52544598846058
952	0.496339143635469
802	0.49287596413305335
958	0.4878392020703086
961	0.4867294997549617
766	0.46601524149120827
992	0.4621168299246825
957	0.4601222053677874
912	0.45200900201992084
121	0.44652296667158703
735	0.44216726086810276
311	0.4047457291588936
919	0.08403410399627885
991	0.0
990	0.0
989	0.0
987	0.0
930	0.0
929	0.0
27	0.0
904	0.0
905	0.0
940	0.0
941	0.0
28	0.0
486	0.0
162	0.0
890	0.0
889	0.0
370	0.0
367	0.0
351	0.0
350	0.0
573	0.0
574	0.0
300	0.0
298	0.0
294	0.0
293	0.0
274	0.0
273	0.0
272	0.0
259	0.0
258	0.0
257	0.0
241	0.0
240	0.0
238	0.0
237	0.0
647	0.0
541	0.0
540	0.0
382	0.0
436	0.0
485	0.0
473	0.0
499	0.0
472	0.0
451	0.0
450	0.0
437	0.0
512	0.0
513	0.0
422	0.0
383	0.0
